content,score,sentiment,sentiment_encoded
apk buruk terus alami kendala transaksi selalu gagal kemarin padahal jaring bagus costumer service buruk,1,Negative,0
verivikasi wajah gagal bae euyy,2,Negative,0
yg udh pernah pke aplikasi ini bneran aplikasi ny aman gx sih terus bneran bank bni ny bukan sih,2,Negative,0
mobile tunai bni mobile gk tapi di wonder ada,4,Positive,1
beberapa menu masih error pilih nominal token listrik lengkap gimana nih supperapp belum sempurna kok di launching nasabah,2,Negative,0
gajelas bgt ni yg bikin aplikasi registrasi susah bgt nyaman mana udah susah registrasi suruh registrasi ulang buset,1,Negative,0
ini notifikasi promo nya jadi muncul terus setting aplikasi non aktif tetap muncul sangat ganggu fitur tarik setor tidak ada padahal sudah jadi yang penting,1,Negative,0
duhhh parah ni aplikasi makin lelet kaya pentium 2 ngak masuk2 kenapa ya parah dah ngak kaya aplikasi l v n belah wush wush ngak pernah error ini apa mau masuk login ulang ulang ngak masuk masuk klo ngak baik mending kabur dah setia sama yg belah enak banget saya edit terima kasih direspon bintang nambah,3,Negative,0
aplikasi cacat mentok foto,1,Negative,0
apk gajelas sering bgt hbs sesi gitu nyebelin sulit bgt mana gabisa tarik uang kartu hadeh,2,Negative,0
sangat simpel nyaman,5,Positive,1
buruk sering eror terlalu banyak pin kode segala macem ribet,1,Negative,0
knp gak di buka wonder saya slalu kluar sendiri makin gak jelas wonder udah kali sya kayak gin,1,Negative,0
belum bagus mbanking bni lama wondr mutasi rekening riwayat transaksi nampak saldo akhir untuk wondr kasih info saldo akhir mutasi rekening riwayat transaksi aplikasi ganti harus lebih bagus dong kok malah down grade,1,Negative,0
aplikasi susah guna lebih mudah lebih praktis guna dari aplikasi mobile banking belum,1,Negative,0
masih gak tau cara tarik tunai lewat aplikasi kalau lebih pilih aplikasi belum karena guna tarik tunai kartu debut lewat aplikasi bni mobile,2,Negative,0
minta untuk tambah fitur download hasil transaksi nya pak bu,5,Positive,1
sudah lebih 2 minggu telah update aplikasi d buka error sedang d baik tim tlong sgera d baik,3,Negative,0
aplikasi sangat mudah lebih cepat,5,Positive,1
maksud nya apa apalikasi susah verifikasi wajah ngk butuh kayak gin hapus langsung,1,Negative,0
fiturnya makin lengkap,5,Positive,1
mas bagus yg lama ini jaring udah bagus login nya lama banget mana suka keluar sendiri,1,Negative,0
tampil cukup tapi cukup jengkel lebih baik mudah m bankin bni nya ntah apa maksud bni merubah2 aplikasi tiap transaksi masuk keluar tidak catat sisa saldo awal sisa saldo akhir transakasi akhir nya jadi ragu tolong rubah tampil saldo nya m bankingi nya,2,Negative,0
sering error jadi susah utk transaksi,1,Negative,0
aplikasi parah maintenance terus,1,Negative,0
knp wondr by bni bisa buka terang nya fitur sedia mohon depan tidak jadi ganggu lagi kalau udah normal kasih bintang 1m,3,Negative,0
kalau baru kasih info donk jngan main asal baru aja udah d baru ttp gk login lagi asik transaksi ter log out tiba trus login gk bisa bunda kecewa sorry paksa ku apus bintang,1,Negative,0
aplikasi apa sering ngebug,1,Negative,0
lelet lagi lelet huhuhuhuhuhu,1,Negative,0
banyak bug tbtb sesi abis pdhl baru login tbtb keluar sendiri model yaa hampir sama kayak bni lama dikit dikit baik kalo apk blom fix mending jngn rilis apk yaa fix in dulu biar gak dikit dikit baik mulu lahh menggangu nyaman penguna padahl udah aktivisasi mala suruh aktivisasi ulang nih apklikasi udah fix blom sih,1,Negative,0
bner bner aplikasi klo di butuhin darurat mau transaksi bnyak kndala parahhhhhhhhhhhhhggggggg perbaikiiiii trusssss smpe bikin emosiiiiii,1,Negative,0
wonder terlalu sering ganggu msuk nya lot,1,Negative,0
aplikasi uras energi emosi waktu saat login halaman muat muncul pesan sesi akhir lah kan baru login pakai bni mobile banking lancar kendala tapi ultima pindah wondr 31 desember bikin panik kalau banyak kendala halo bni nasabah tentu punya hp spek nya tinggi sesuai,1,Negative,0
bulan kenapa sering masalah ya gabisa login,4,Positive,1
tiap cuaca hujan aplikasi tidak dpt laku transaksi,1,Negative,0
aplikasi eror mulu,1,Negative,0
parah terlalu banyak update mau login susah pake sidik jari alas beda sidik jari login pakai pin tp malah keluar sendiri aplikasi mending pakai bni mobile banking cpt gak lot wondr,1,Negative,0
di genting begini malah eror eror terus sih ini lama dah sampe 24 jam ampun dah,1,Negative,0
tolong dong eror trss banyak bgt kendala jdi susah ambil uang,1,Negative,0
lot susah login parah muter2 terus,1,Negative,0
apa dah tiap malam susah banget ngaksesnya tau gin mending pake aplikasi belah,1,Negative,0
catat nya makin sering pakai buat transaksi virtual atau e-wallet makin lama loading nya,5,Positive,1
aplikasi apa ini mobile tunai ada belum ada sering error,2,Negative,0
payah masuk banyak bug nya gak cocok aplikasi nya,1,Negative,0
gak jelas tiba buka sendiri tidak bisa di pakai,1,Negative,0
blug baru login sesi akhir kali hadeee,1,Negative,0
gajelas nih apk mending pake bni mobile baru login bilang sesi login telah akhir ngabisin waktu ulang2 twrus gajetotflah,1,Negative,0
apk jelek sering keluar sendiri transaksi mending pake apk bni yg dulu banyak error,1,Negative,0
moga tambah baik trus,5,Positive,1
aplikasi sangat mudah proses,5,Positive,1
sering eror aneh,1,Negative,0
jelek banyak ganggu error sesi akhir sesi akhir malu maluin sen makan wondr nya gabisa buka sumpah malu maluin,1,Negative,0
aplikasi sering eror sesi sedia coba lagi mutasi transfer masuk cuma tulis transfer aja gak nama jelas kirim nya jadi gak tau mana dapat transfer an saya rasa kurang bagus lengkap mohon baik tingkat kalau gak lebih baik jangan buat aplikasi mbanking daripada malah susah orang,1,Negative,0
aplikasi gajelas rusak,1,Negative,0
kok ganggu an trus knpaa yhaa,1,Negative,0
sering ganggu maintenance mulu dah,2,Negative,0
sangat kurang sekali login masuk akun pas keluar aplikasi kemudian coba masuk apk tiba2 ngak bisa bagus aplikasi lama yang ini selalu keluar sendiri aplikasi login,1,Negative,0
apasih gabisa buka ganggu terus masa mbanking kaca gin sih,1,Negative,0
tiap jam 10 ko nga transaksi,5,Positive,1
sering ganggu payah dan sering fitur tdk sedia coba tulis nya woii baik segera knp ganggu ini sekarang mana nih pihak bni,1,Negative,0
liat udh banyak yg komplen alami yang dengan ketika mau tf diblng nya gagal saldo potong tdk bukti transfer pdhal jls jls terang nya gagal bukan pending kemudian wktu ga bawa cash mau bayar pake apk malah ga pake krna sedang baik kata nya alhasil repot bgt mana ga bawa cash sama sekali jadi mohon tlg di tingkat tdk repot tlg tingkat ya krna kdng ada darurat malah ga dipake,3,Negative,0
kalau pakai wifi lot banget gak kaya bni lama,2,Negative,0
asa sering bgt ganggu dah mending aplikasi yg lama,2,Negative,0
tiap malam ganggu mulu tiap buka nongol fitur sedang sedia,3,Negative,0
mohon maaf suka error mulu pas genting2nya ga kepake bener2 frustasi banget,1,Negative,0
ketika urgent butuh malah sering jadi bug fitur tidak sedia itu nunggu tengah jam mau bayar pake qris jadi gabisa buka aplikasi nya coba yah d benahin bagus pake m-banking nya,1,Negative,0
aplikasi sangat jelek sekali gk kayak mbanking,1,Negative,0
kok ganggu,5,Positive,1
apakah wondr by bni sedang eror dalam masa baik,5,Positive,1
suka error,1,Negative,0
ini aplikasi sering baik,5,Positive,1
banyak baik sistem jadi qris bayar jadi tunda alam waktu bayar udah selesai pending tiba tiba keluar sendiri terus ga masuk gara gara baik,2,Negative,0
kalian siap aplikasi ini hal urgent malah gak buka aplikasi,1,Negative,0
selalu baik terus kalau mau masuk astaghfirullah,1,Negative,0
sudah hampir 1minggu aplikasi eror udan uninstal instal tetep aja ga buka kenapa,3,Negative,0
aplikasi wondr hp eror tidak buka kadang saldo tambah padahal notif pasu padahal perlu2 nya masih bagus aplikasi lama,2,Negative,0
lebih mudah top,5,Positive,1
kesel sama mbanking bni dikit dikit ganggu hambat transaksi mana kalo ganggu lamaaa kalo begini terus uninstal aja lah bikin emosi,1,Negative,0
terlalu sering gagal login selalu butuh waktu bayar jadi sering kendala terlalu banyak bug aplikasi,1,Negative,0
gara mbking ada ganggu gw gabisa pake qris buat belanja kartu lupa bawa hadehh,1,Negative,0
ini ga di buka ganggu mulu padahal butuh banget malah ganggu mulh,1,Negative,0
ganggu terus yah jadi susah log in,1,Negative,0
bahhhhh apa sering gangguannn lama lama malas lah klo lg penting sering begini,1,Negative,0
kenapa sering ganggu gak jelas sekarang kok jadi kesel gunain sekarang sya edit rating sya kecewa sya ulang kali kayak gin trus kacau kacau parah kacau,1,Negative,0
sering fitur tidak sedia terussssssss,1,Negative,0
sdkit sdkit ganggu mending pakai bni mobile lama,1,Negative,0
malam kok gak ke buka apa ganggu,1,Negative,0
aplikasi bodok suka logout2 sendiri susah minta ampun login gagal sistem terus,1,Negative,0
sorry to say bagus aplikasi mbanking bni wondr karna seriong trouble lemotttt sering gabisa log in jaring padahal lancar jayaaa ayooo wondr tampil mu anak muda harus akses guna hape apa dan mana,2,Negative,0
lot banget kak aplikasi nya direlog hp malah daftar,1,Negative,0
ini app baik mulu susah banget masuk nya hadeh,1,Negative,0
sering error susah log in sering keluar aplikasi lg transaksi jauh lbh nyaman pakai mobile banking belum yg minim kendala,2,Negative,0
sering kendala ntah padahal internet pakai yg sangat lancar cara ui ux udh bagus ntah dari segi backend nya yg masalah gmn ya bni mobile yg lama aja sangat jarang masalah,1,Negative,0
gak login bos gimana apk gaje,1,Negative,0
jelekk aplikasi bisa guna jaring wifi,1,Negative,0
saya login padahal informasi biodata suda lengkap sesuai suda ulang ulang login tidak bisa juga,1,Negative,0
awal bagus sangat mudah tpi tengah mati mau beli token listrik selalu bisa,1,Negative,0
ga transfer ga beli token ga semua hadeeehh,1,Negative,0
pasu data ktp verifikasi no telp sistem selalu error mohon baik,1,Negative,0
saya dapat bug apk wondr mana apabila nasabah sdh aktif login biometrik waktu biometriknya error tdk fungsi sy login lagi apk wondr milik opsi lain uti login guna password beda mobile banking lain bisa guna biometrik bisa jg guna password pin bug ini sungguh repot sy nasabah baru,1,Negative,0
makin ribet aj nih terlalu banyak aplikasi padahal dr bni mobil banking udh enak gak perlu keluar masuk aplikasi lagi mohon kembali mula aj 1 aplikasi semua transaksi lebih mudah nyaman jangan malah buat tambah ribet transaksi lain nya,1,Negative,0
tidak informasi saldo pinjam aplikasi belum,3,Negative,0
banyak errornya top up e-wallet lama bagus mbanking belah kalau begitumah,1,Negative,0
sayang sekali aplikasi tidak fitur setor tarik tunai mohon di ikan menu sebut baru kasih bintang 5,1,Negative,0
kemarin bni citra garden medan mau aktivasi mobile banking kata pindah ke wondr harap pake bni m banking fitur transaksi tanpa kartu bisa bayar didik semua universitas tolong update tambahin fitur di m banking terimakasih,3,Negative,0
aplikasi udah bagus cuman sayang buat transaksi listrik gak dpat fee dah gtu gak cetak setruk bayar,4,Positive,1
gimana gabisa registrasi wondr terus udah 1 bulan masa gabisa terus udah kantor cabang urus sama costumer service aja tetep gabisa suruh uninstall terus install sama securitynya tetep gabisa sampe muncul notif coba besok tanya kenapa aja gabisa securitynya bilang coba besok dulu terus saya bilang kalo besok gabisa gimana mas kesini lagi dih kocak udah bela in libur kerja biar urus malah ttp gabisa,1,Negative,0
dak login begitu login masuk keluar trs halaman syarat tentu padahal selesai login daftar udahlah mau transaksi mbanking bni mobile batas harus pakai wonder eh bgtu mau pakai wondernya masalah,2,Negative,0
nyusain kalo beli token listrik kudu masukin no meter gabisa disimpen payah buka malah bagus malah tambah jelek nih aplikasi bni,1,Negative,0
sekarang wondr terlalu banyak baik jdi bingung mau bayar trans padang pakai qr tiba baik pemberitahuan harus kalo mau baik diberitahu dulu pemberitahuannya jdi bisa prepare bawa kartu gmn nya,3,Negative,0
ribetbya cuma verifikasi wajah aja sih serba salah pdahal uda ngikutin pandu,3,Negative,0
wa gmn habis verifikasi aplikasi sy buka e malah g bs minta isi mulai awal gmn aplikasi mending pake aplikasi bni mobile bamgking yg lama da g pusing aplikasi baru g,1,Negative,0
sulit laku verifikasi wajah buka kaca mata perintah layar baca mustinya opsi lain,1,Negative,0
mengapa buka aplikasi selalu registrasi ulang akses fitur fitur nya baca syarat verifikasi ktp dll kenapa seperti aplikasi saja tampil awal login daftar baru pertama kali buka hp infinix note 40 pro,2,Negative,0
wondr by bni fiturnya lebih lengkap praktis,5,Positive,1
tolong baik sering eror bisa buka aplikasi bukan main2 transaksi bayar beli transfer,2,Negative,0
baru daftar eh loading lama gak buka muncul tuju terus enak bni banking yg dulu dan sering bnyk komplen qris gagal tp saldo potong mana gak balik2 tu duit sampe cust komplen terus bolak balik toko nanyain saldo yg potong,1,Negative,0
aplikasi cukup bagus mudah paham saja sering jadi salah sistem ganggu buka aplikasi sangat susah login,3,Negative,0
aplikasi sampah baru pertama mau pakai sdh error ribet nyesel install,1,Negative,0
kali mau login paswrd selalu sesuai mau suruh ganti pswrd berapa ribu kali habis verifikasi ulang ulang malah mending pake m banking lama,1,Negative,0
aplikasi nya ribet tiap mau transaksi suruh verifikasi akun terus padahal udah laku verifikasi udah pernah transaksi beberapa kali pakai wondr tapi kok suruh verifikasi lagi,2,Negative,0
virifikasi susah sekali,1,Negative,0
mohon tabung tapenas kembalikn utuh hanya utuh contoh 670 000 tpi tiba tiba masuk 550 000 sissanya mana,1,Negative,0
sudah bagus apk terlalu belibet kutat verifikasi kartu digital lalu email lebih,2,Negative,0
baru tf dikit udah limit ga jelas bgt jgn buka rekening bni nyesel mending bank aja mandiri bca,1,Negative,0
aplikasi lelet habis beli pulsa prabayar pulsa tdk masuk terang gagal saldo potong,1,Negative,0
aplikasi rusak bikin susah verifikasi wajah gagal terus padahal udah bener,1,Negative,0
ni cair bni simponi usia bawah 30 tahun potong 11 11 tabung bni simponi sama aja gaji lama 1 bulan kalok potong administrasi 10 000 bulan kontrak kerja 5 tahun harus kan yg potong hanya 600 000 ribu kenapa potong 11 yg jumlah capai 3 000 000 juta lebih selesai kontrak belum usia 30 masa iya tetap kena potong 11,1,Negative,0
virtual akun nya baik lah tidak guna,2,Negative,0
kenapa verifikasi wajah susah sekali padahal beberapa kali coba selalu gagal,2,Negative,0
good,5,Positive,1
tambahin fitur tarik tunai atm kartun min lebih bagus,4,Positive,1
susah banget buat daftarinnya ya mau daftar keluar pasti data kamu paling update gimana maksud data paling update,1,Negative,0
udah finger malah log out sendiri aplikasi aneh,1,Negative,0
kenapa gagal login,1,Negative,0
min bagi menu awal nya di atas mau login balik awal daftar padahal udah buat akun,3,Negative,0
layan jelek mending pake bca,1,Negative,0
verificasi wajah susah gagal mulu,2,Negative,0
isi rp 50 000 malah ilang ada history transaksi niat mau nabung malah hilang,1,Negative,0
udah bagus kok cuma mohon setor tunai atm ada kan,5,Positive,1
suka banget sama wondr selain gampang banget transfer ga perlu ke atm rekomendasi banget,5,Positive,1
terlalu sering ganggu tolong aplikasi nya baik,1,Negative,0
semangatt trss kembang aplikasi nya yg mendownloat lebih nyaman pakai apk ini karna fitur2 nya sudah sangat mudah di akses,5,Positive,1
ribet banget ganti password ganti pin selalu pakai foto ktp input nomor rekening sampai bolak balik salah password pin minta proses awal sampai suruh ulang besok padahal koneksi internet bagus moga data ktp aman,2,Negative,0
sejak pakai wondr susah sekali mau transfer uang kemana2 hari bisa transfer nominal 1jta tolong solusi bisa begitu,1,Negative,0
aplikasi sampah verifikasi wajah berkali2 kedip2 mata kayak orang gila tetap aja gagal dasar sampah,2,Negative,0
ada fitur setor tarik kartu saya cari2 gak ketemu fiturnya,4,Positive,1
info ganti aplikasi bni mobile banking ya mohon tambah fitur tarik tunai cardless detail mutasi detail aplikasi belum biar ga banyak aplikasi mbanking sudah baru fitur sebut sy mampir kesini lima bintang,3,Negative,0
masih layak lama minggu apam masalah tida transaksi karna pin pasword sesuai tidak di guna email tidak di taut,1,Negative,0
uda kali transaksi pertama transfer antar bank maka nya bifast masuk hampir 24 jam apa fast terus barusan beli pulsa sini riwayat transaksi gagal uang uda potong,1,Negative,0
malah uninstal terus download masih sama ngga ubah belum lancar ajah dari tanggal 30 sampe skrng bisa,1,Negative,0
jangan kejar target baru aplikasi teross jaring atm baik berapa kali atm error teross saldo potong uang gak keluar ribet kelas bank bumn kok kyk gin,1,Negative,0
transaksi token listrik nya up dong eror trus,3,Negative,0
masih terlalu sering eror masih sama aplikasi nya kalo memang kendala ada nya aplikasi yg baru yg lama tiada kan aja ini jadi bingun apk lama bisa guna cuma transfer eror pake apk yg baru sama aja eror jadi gimana coba,1,Negative,0
puas banget sama aplikasi bantu mudah nasabah dalam banyak fitur-fitur mudah erti tf ewallet top up game beli plsa masih banyak lagi pokok aplikasi the best,5,Positive,1
ga bisa cardless paksa migrasi aplikasi tengah jadi,1,Negative,0
kalo depan fitur update data nomor telepon alamat fitur setor tarik tunai kartu kan simpel dari rumah update data langsung dr aplikasi m-bankingnya moga di follow up,5,Positive,1
wondry by bni gimana si masak transfer uang dri akun bank bri terus transfer akun wondr by bni uang nya masuk lalu chat costomer servis wa sampe sekarang ada kabar uang sampe sekarang bom masuk terus mau transfer dari tadi gagal terus tolong jadi gin ya dr pertama sya pakai akun bni lama sampe pindah wondr by bni sama sama sering eror,2,Negative,0
aplikasi keren aman baik tapi tampil saldo tiap transaksi moga tambah fitur saldo transaksi,4,Positive,1
aplikasi bergunaa login beberapa jam kemudian bisa login,1,Negative,0
asa banyak anu deh gak kaya mandiri lancar jaya,3,Negative,0
mending apk bni mbinking yg lama wonder brp x vermuk ga gal terus pdhal ya sendiri wonder g apk jelek,1,Negative,0
kurang bagus telat info tf nya riwayat transaksi kurang mantaf,3,Negative,0
mohon verifikasi wajah jangan bikin gamood saya udah ijutin intruksi suruh ulang terus,1,Negative,0
layan bagus,1,Negative,0
proses daftar lancar telah keluar gak login notif nya sesi kamu akhir,1,Negative,0
sangat bantu proses transaksi,5,Positive,1
transaksi vistual account nomer masuk kemudian nama muncul benar kenapa gagal coba beberapa kali tetap seperti,2,Negative,0
sering susah buka lama buka,3,Negative,0
aplikasi jelek bgt please deh kirain udah ubah krn nyuruh pindah apk baru tau nya sakit sama2 aja masa mau topup gopay aja susah minta ampun gilaa udah bener emang abis gaji lngsung dipindahin aj sea bank lbh bgus,1,Negative,0
keren si aplikasi banyak banget fitur mudah guna buat hari2 guna cashless bener2 bantu banget semua transaksi lewat wondr,5,Positive,1
optimal aplikasi di paksa ulang masuk menu tuju guna lembar daftar sampai sekarang belum masuk menu akses apa itu,1,Negative,0
gak pakai suruh centang2 terus tulis sesi sudah akhir terus,1,Negative,0
verifikasi wajah susah gagal terus baik aplikasi,1,Negative,0
moga tetap semangat layan,5,Positive,1
ngak di buka aplikasi nya,1,Negative,0
baru download tp gak masuk menu klik logo aplikasi nya muncul syarat tentu terus2an kaya buat akun lagi gitu terus gak maduk2,1,Negative,0
menu check saldo tapenas ya atau sedia,4,Positive,1
ini wondr gimana sih saya mau buat akun malah gak bisa ada ganggu mana beli token sini,1,Negative,0
masih lebih user friendly aplikasi bni mobile banking kenapa ga aplikasi yg lama yang baharu pada bikin baru tolong timbang aplikasi wondr user friendly aplikasi bni mibile banking tidak hilang fiturnya,3,Negative,0
tolong buat admin aplikasi ini tadi mau masuk aplikasi cuman login suruh relog ketika relog eh malah suruh nunggu besok buat admin aplikasi uang jangan nasabah pakai aplikasi kecewa akibat banyak bug ini terima kasih,1,Negative,0
sangat bantu transaksi,5,Positive,1
maaf min gimana ya mau login gk halang terus sama syarat awal daftar pas coba isi format kata sesi habis suruh login eh pas mau login halang sama syarat awal itu dan terus gimana mohon baik parah sih semua aplikasi bawah naung bni gk yg beres dah gitu salah guna kata jaring yg kurang bagus padahal bagus aja tuh,1,Negative,0
- aplikasi dalam kembang - tidak semua hp compatible cocok - transfer barcode ganti nomer rekening sedia kalau dulu - sedia tarik tunai kartu - nama rekening listrik bisa guna susah punya banyak meter harus isi token - aplikasi lebih jelek yg bni mobile,1,Negative,0
sekarang transfer e-wallet batas max 1jt klo lg desak trs butuh transfer lebih itu gmn ga semua orang punya no rek tp semua orang punya e-wallet,1,Negative,0
mengapa wonder buat buka 2 tabugan bisa,2,Negative,0
top,5,Positive,1
verifikasi wajah susah banget mending gak usah nih aplikasi enak pake lama makin gak jelas,1,Negative,0
good,5,Positive,1
apk oon ribett registrasi kaga bisa hapus aja apk udah bagus yg bni apk ga jelas taiii,1,Negative,0
kirim e wallet kok batas tidak bni mobile,3,Negative,0
balikin ke bni m banking yg lama yg merah lebih keren lihat elegant ga lihat cupu pd pake nya fitur nya lebih lengkap familiar user friendly kesan nya kelas ngga kayak yg baru kayak apk ecek2 kesan nya apk ngga penting aja harus nya fitur lebih baik user interface nya lebih mewah tampil nya bukan malah balik nya kek gin fungsionalitas nya jga gak yakin bakal bagus bni m banking yg merah,1,Negative,0
size nya besar yaaa tiga ratus mega mobile banking lama ratus mega kecil kan dong,2,Negative,0
terimakasih bni aplikasi selalu mudah sesimple itu makin baik depan,5,Positive,1
selalu gagal verifikasi wajah padahal ikut arah,1,Negative,0
waktu daftar harus masukin nomor kartu debit kredit,3,Negative,0
ini gimana sih ud log in ko balik awal ke awal aneh,1,Negative,0
untuk metode bayar didik wonder hanya ui yah mohon tambah di app nya,3,Negative,0
aplikasi bantu banget buat transaksi apa promo nya banyak banget sangat perlu transaksi,5,Positive,1
spasih login g bisa sesi telah akhir saya coba install ulang sama aja warningnya sesi telah akhir,1,Negative,0
ini aplikasi apa tiap kali masuk verifikasi data lagi poto ktp dll udah gitu vermuk nya susah banget pindah aja mobile banking,1,Negative,0
dalam 3 bulan akhir 3 kali transaksi gagal saldo kurang memang uang kembali nunggu 20hk skrg jadi ke 3 kali nya harus nunggu 20hk payah aplikasi jawab cs bni tidak buat puas apa beda cs sama chat bot kalo gitu proses belum selesai jadi transaksi gagal saldo kurang ampas emg bank ko bintang 1 nya di hapus ga terima kalo emg bener aplikasi ampas,1,Negative,0
huhft dear wondr by bni keluh kendala yg sering alami saat guna aplikasi ini terkadang aplikasi kirim notif fitur tidak sedia ingin laku transaksi padahal posisi saya ada kota yg milik akses internet yg stabil mohon baik aplikasi ini kena transaksi uang sekian terimakasih,1,Negative,0
mau masukin no debit gagal terus padahal benar salah terus suruh isi besok lagi gimana,1,Negative,0
sejak fitur wondr by bni transaksi makin mudah ada banyak promo gaiss kalau transaksi pake qris aplikasi wondr hari hari tentu buru download gaisss,5,Positive,1
sdh daftar isi segala yg minta norek fasword dan data2 saya tapi mau login ke aplikasi tidak bisa mohon ada jadi saya harap aplikasi bisa tanggung jawab tks,1,Negative,0
apk tolol lama pakai tiba tiba gak login,1,Negative,0
susah sekali masuk verivikasi wajah selalu kendala team ini aplikasi gmn kok banyak kendala,1,Negative,0
mudah transaksi,5,Positive,1
baik dlu aplikasi mau login suruh daftar ulang terus,2,Negative,0
aplikasi sangat mudah d pakai gk ribet lancar jg d pakai saran kasih gitu tarik tunai kartu d semua bank sama min,5,Positive,1
sangat mudah sekali transaksi the best lah,5,Positive,1
wondr has made banking so much easier its simple to use and everything i need is in one place,5,Positive,1
im so happy with wondr its a total upgrade from the previous app everything is streamlined,5,Positive,1
bagai guna bni beneran puas pake apk wondr rasa bantu juga jauh aman ga pernah kendala,5,Positive,1
i can easily manage my finances on the go with wondr its super simple and fast,5,Positive,1
kenapa kode verifikasi 6 digit masuk masuk email saya,3,Negative,0
baru download apk ini aktivasi cpat gk ribet suka sama apk lancar mudah,5,Positive,1
nyata login ribet ada pin ikd yg harus dinas duduk huft uninstall lah,1,Negative,0
aplikasi sangat guna bantu bgt buat kontrol uang aku wonder by ni mudah aku belanja,5,Positive,1
overall fiturnya tarik bagus juga simple tapi dong tambah fitur tarik tunai gitu misal mau tarik tunai kartu fisik tinggal,5,Positive,1
aplikasi sangat bantu mudah guna nya,5,Positive,1
aplikasi nya bagus suka lihat fiturnya mudah guna,5,Positive,1
aplikasi oke keren cuma satu saran tolong adain tarik tunai kartu semua atm dong keren banget tu,5,Positive,1
aplikasi gampang digunain fitur uinya sangat tarik aplikasi paling simple gampang dilakuin kembangin trus wondr by bni,5,Positive,1
baru pakai wondr by bni langsung asa beda aktivasi mudah transaksi lancar fiturnya benar bantu ui-nya tarik ramah guna moga terus kembang tambah fitur lebih lengkap sukses terus bni,5,Positive,1
ui nya baguss enak liat user friendly deh pokok aplikasi cepet loadnya jadi ga lama nunggu,5,Positive,1
baru instal wondr by bni proses registrasi cepat mudah langsung coba transaksi hasil lancar hambat terima kasih moga depan makin banyak fitur tarik,5,Positive,1
mohon maaf sekarang hasil registrasi harus buat kartu debit virtual apakah bisa masuk nomor rekening bni lama,1,Negative,0
