content,score,sentiment
ga pake buat bayar didik ui aja yg ada universitas yg ga kurang worth it saya mahasiswa yg males antri di admin karna rame,3,Negative
sangat bantu,5,neutral
tampil baru oke fitur lengkap di bni mobile banking mohon baik utama riwayat transaksi update banding aplikasi lama tolong yang sudah di aplikasi lama kembang bukan hilang,1,Negative
mantaffff wondr bni,5,neutral
aplikasi nge bug udah login pertama kali terus keluar aplikasi pas buka aplikasi malah muncul syarat tentu terus ceklis malah muncul sesi akhir suruh login jadi gak dipake,1,Negative
haloo bni kapan sedia fitur transaksi kartu tunggu 3 bulan sementara bni mobil setor tunai kartu sudah arah wondr by bni saran kalau lengkap fitur nya minimal sama bni mobile tutup untuk aplikasi wondr by bni,1,Negative
aplikasi eror tidak masuk terlalu susah verifikasi masuk aplikasi awal dulu bagus sekarang susah guna aplikasi wondr,1,Negative
easy used and working well,5,neutral
terimakasih atas informasi bantu saya laku transaksi bayar lalu wondr by bni,5,Positive
mantap,5,neutral
ol,5,neutral
capek masukin password selalu cocok padahal password udah benar jadi capek verivikasi terus,1,Negative
sangat bagus,4,neutral
sudah cocok enak pake simpel kendala ewalet blm sinkron sy anggap wajar karna apliksi baru perlu upgrate lg,5,Positive
lebih cepat praktis aman,5,Positive
udah daftar minggu kemudian daftar lagi isi data teross -90 mending app bni yg lama jelas lengkap - udah daftar jalan oke aman - minggu kemudian jalan mau transaksi login suruh daftar oke gua turutin fine - skrg mau login suruh daftar ulang lg mau nya apa daftar terus ga app yg lama aja kembang,1,Negative
lebihh mudahh,5,neutral
sudah ubah kata sandi masuk sandi untu transaksi ngk lagi afknya kayak gin,1,Negative
makin maju punya aplikasi tapi makin layan apk bobrok masih enak mbankingnya mau bayar listrik imput lagi imput lagi kalau mbaking kan udah nge save ga mau bayar di apk ini mending kantor pos aja,1,Positive
apk wondr bagus cuma komplit semua fitur kartu kredit belum ada ubah jadi cicil di mobile banking bni,4,Negative
tiba tiba sya bisa masuk ya kk sering banget baik,1,Positive
mantap,5,neutral
makasih bni udh keluarin aplikasi ini ngebantu bgt bisa buat rekening lalu aplikasi aja harus kantor ga repot gampang buat yg pas pepet ga repot fitur nya udh lengkap jadi kalau tengah malam urgent tinggal buka aplikasi aja deh,5,neutral
sering ganggu mau transaksi hasil tolong baik,1,neutral
desain banget,5,Positive
app ga buka knp kemarin baru bisa skrg malah keluar sendiri,1,Negative
,5,neutral
good,5,neutral
ribet mau login,1,neutral
kenapa sih aplikasi baru malah gak lengkap aplikasi bni mobile lama fitur bayar didik hilang lalu muncul cuma 1 universitas negeri,2,Negative
telah update kog malah gak akses bagus aplikasi mbangking lama gak pernah masalah apalagi dengar akhir tahun aplikasi lama akhir ganti wonder padahal aplikasi sempurna akan banyak kendala masalah buat nasabah pakai aplikasi wonder kendala nya saat masuk wonder masuk pilih login masuk tampil tentu syarat telah pilih yg dan lanjut tampil tulis sesi akhir,3,Negative
tidak donwload,5,neutral
prasaan blum bulan pakai aplikasi kok malah updated lagi terlalu banyak versi buat jadi risih turut masih nyaman apk yg belum,3,Negative
belum menu mobile tunai jadi gak tarik tunai kartu update dong wondr nya,4,Positive
untuk kode qris terima dana kok hapus kalo aplikasi yg lama mode qris terima dana keluar terus habis klik syarat lagi suruh login,2,Negative
sering ngupdate,3,neutral
moga makin baik depan kalau maintenance ada update diberitahukan terlebihdahulu terima kasih,4,neutral
sangat simpel cepat,4,Positive
wondr sangat mantap,5,Positive
payah mau daftar notifikasi cukup umur,1,Negative
,5,neutral
sangat puas karena aplikasi wondr sangat bantu saya dal butuh saya seperti pulsa transfer bisa lihat simpan saya,5,neutral
bagus cepat akselerasi,4,neutral
terimakasih banyak sayapuas aplikasi,4,Negative
aplikasi lumayan bagus mudah transaksi,5,Positive
awal sulit tp lanjut nyaman bgt apalagi data yg simpan mbanking otomatis masuk wondr,5,neutral
belum fasilitas tarik tunai kartu dlm aplikasi,4,Positive
saya kasi bintang segitu biar lebih tingkat lgi fitur nya bos,5,neutral
bagus,5,neutral
kenapa sih aplikasi ada aja kendala waktu mau pakai plislah bagi aplikasi baik,2,Negative
lancar mudah segala,5,Negative
good enough,5,neutral
aplikasi bikin tambah ribet bikin pindah bni bca kecewa banyak aplikasi hal mbanking bni tadi lengkap fiturnya bye bni,1,Negative
mf ya ko aku ga login kata sandi sh,1,neutral
augusto 12,1,neutral
kocak paling bisa andelin malu maluin mau bayar transfer qris dana sering sering nya eror aplikasi wondr rekomen banget aplikasi si paling eror dan selalu malu maluin,1,Negative
fitur minim ngapain sih wondr sorry dislike it,1,neutral
kok makin parah bni topup ewallet gagal terus shoppepay masalah lah dana masalah lah ada notif saldo rang capai minimal saldo padahal saya sisahkan 50rb aneh nih apk,1,Negative
eror nya kok jam jam,1,neutral
bagus,5,neutral
akhir akhir sering ganggu beberapa kali transaksi sering gagal tolong tingkat dong,3,Positive
kok gak top up dana yah,2,Positive
parah sering ganggu,3,Positive
sangat cocok,5,neutral
ok,5,neutral
transaksi pke qris gagal tpi saldo dh potong gk blik,1,Negative
wondr memang lebih praktis,5,Positive
cara daftar nya gampang banget sangat mudah bagus guna,5,Positive
tarik bintang susah login,1,Negative
tarik,5,neutral
sangat baik,5,neutral
apa maksa update jelek banget udah gitu lengkap aps bni mobile banking lagi uninstall aja udahh,1,Negative
buat devoleper wonder bni saran saya buatin fitur cardlessnya bisa narik uang guna kartu atm buatin fitur mutasi rekening pasu keluar bisa download rekap minggu bulan aja saran saya seluruh fitur bagus cuma 2 fitur aja belum sedia mohon di isi di apps wondernya terimakasih,4,Negative
bagus mudah cek saldo,5,neutral
bagus,5,neutral
mantaaap,4,neutral
dngan ada aplikasi sya jd lbih mudah cek isi saldo jd g usah blak blik cek mesin atm,5,Negative
dikit2 update,1,neutral
mempernudah semua urus,5,Negative
bagus,5,neutral
klk nyuruh pakek wonder di benerin dulu apk nya sering trobel,2,neutral
sekarang mudah apabila transfer mana dengan wonder bni,5,Negative
sangat manfaat,5,Positive
suruh nonaktif aksesibilitas ribet,1,neutral
ribet udah m banking malah nambah aplikasi segala bikin password ribet enak langsung m banking mau beli pulsa lupa pasword lah rekam wajah sulit pokok enak langsung m banking,1,Negative
mantap pokok,5,Negative
sangat bantu dalam transaksi,5,Positive
ih bug terus sih sesi akhir terus pdhal udah klik itu nya,4,Negative
dana gue kaga balik 177rb parah lo maling,1,Negative
sangat baik,5,neutral
aku login ulang tiba - tiba suruh verifikasi wajah ketika suruh tengok atas bawah tapi waktu kedip mata verifikasi padahal internet lancar ku ulang besok masih tetap mohon jawab tapi tetap ulang kali - kali tidak bisa waktu nya suruh kedip mata saja tidak bisa untuk login ke akun saya,1,Negative
sungguh sangat bantu jangan terlalu cepat minta update,5,Negative
lebih privat guna kata sandi lebih kuat,5,Negative
beri kmudahan,5,neutral
,4,Positive
ponsel mudah guna,5,Positive
lelet,2,neutral
sudah hari 3 pada verifikasi wajah selalu ganggu terus padahal cahaya sinyal bagus dulu ganggu jaring mulu sekarang verifikasi wajah,1,Negative
bagus cepat,4,neutral
beri mudah saat tepat,5,Negative
sangat bantu cepat mudah,5,Positive
rrr,3,neutral
tadi nya pingin nabung du bni tapi tiap ambil uang atm sering banget salah passworld ganti passworld gak lama gitu lagi sekarang kartu gak nisa pake saya datang bni setiabudhi buat ganti kartu kata nya 14hari baru bisa sedang kan bank belah setiabudhi saya ganti kartu cuma 15menit harus isi formulir apa moga bni lebih baik ya sukses selalu,3,Negative
bagus,5,neutral
mohon maaf dear cs bni punya 8 rekenening aktiv bni tapi baru lewat aplikasi wondr bni rasa nyaman ada nya bni asuransi program bni lite semua asuransi udah serah bpjs lewat aplikasi serasa paksa ikut program asuransi bni lite kami tabung bukan sumbang uang asuransi,2,Negative
aplikasi sangat bgus,5,neutral
blm lama diinstal udh minta diupdate aja,1,neutral
ok,5,neutral
bagus banget lebih cepat simpel,5,Positive
apaaan tuh ape tuh good lucky,5,neutral
lalap minta update besar2 kali ukur file nya ntah ngapai ini,1,neutral
tks bni,5,neutral
tolong admin aplikasi ku suruh update udah coba 4x gagal terus padahal pake wi-fi,4,Negative
pakai apk bni mobile tidak qris sayang banyak benah apk wondr ini 1 update saldo akan laku beli token listrik tau kurang saldo karena adm bulan lalu tf rekening yg namun harus ke halaman utama dulu utk ulang trx beli token 2 awal masuk apk tiap open apk selalu tuju privasi 3 tidak informasi promosi bni justru notif bni mobile beri informasi promo beli token,3,Negative
aplikasi banyak error genting selalu bisa guna,1,neutral
ga tarik tunai kartu suruh migrasi sini fitur tarik tunai yg sangat penting malah ga ada payah,1,Positive
ok,4,neutral
bagus enak transaksi,5,Positive
fitur bagus sangat mudah transaksi harus bgt yaa d upadate klo ga update gamau kebukaa harus pilih kalo ga update tetap buka app nyaa hadeeh,4,Positive
trimakasih wondr knyamanan ber transaksi nya tingkat ke aman nya,5,neutral
apk banyak bug,1,neutral
sering ganggu bisa sering baik sistem,1,Positive
mudah guna sangat bantu transaksi,5,Positive
good,5,neutral
ribet sekali masa mau masuk verifikasi terus,1,Negative
wondr bni susah sekali login ribet verifikasi ktp error terus minta foto ktp jelas kirim notif kendala tim sedang baik coba cuman 3x ngulang besok maksud apa kalau gak niat bikin aplikasi gak usah bikin emosi gara gara aplikasi,1,Negative
kok wonder sekarang ngga menu tarik tunai tanpa kartu ya betul ngga,5,Positive
woyyy knp apk nya gak sengaja uninstal pas download ulang malah gak login akun lama suruh bikin akun baru,1,Negative
gk login klo gk kencang jaringanx,4,neutral
keluar sendiri aplikasi nya lalu error gak login lagi sesi akhir terus sudah dj uninstal lalu instal kembali hasil tetap sama,1,Positive
it wonder bni parah masa ngulang daftar kan login,3,Negative
mantap,5,neutral
verifikasi wajah susah,1,Negative
lebih bagus bni mobile,2,neutral
mantap,5,neutral
gimana c ni aplikasi udh gw instal udh diikutin daftar malah kagak sinkron ama rekening gw malah dibauru buat rek baru anehhhhh,1,neutral
okey,5,neutral
top,5,neutral
sangat bantu,5,neutral
oke,2,neutral
ngga sengaja unistal diinstal tidak,1,Negative
sangat bagus,4,neutral
lebih baik,5,neutral
wonder by bni sangat muas kami langgan bni mudah operasi dn mudah guna kapan love you bni,5,neutral
jadi bug lebih cermat baik sangat menggangu kalau transaksi kalau bilang aplikasi mudah malah sering jadi bug masuk login gak bisa bni mobile yg belum lancar beli token listrik kesini ini bisa login kembali bni mobile banking mula juga sama,1,Negative
apk ribet susah bener verifikasi nya udah mangap2 sampe 800 kali tetep aja gk kebava mata ngedip2 sampe sakit mata belek bisa2 juga masa iya kelas bank bni punya apk begini kacauuuu,1,Negative
kok bolak balik sangat repot,5,Negative
nggk diupdate nggk buka jadi terus terupdate,3,Negative
gak download mutasi rekening payah,1,neutral
susah updatenya,3,neutral
saya laku transaksi lalu qris transaksi gagal saldo potong gimana,2,Positive
mudah lancar aman,5,neutral
aman,5,neutral
lebih bagus pakai bni mobile banking menu wnder bikin bingung mau beli token listrik harus selalu input idpel kalu mob banking sdh option safe favorit,3,Negative
kerenn apk nyaa,5,neutral
sangat bagus,5,neutral
sangat mudah manfaat,5,Positive
asuu ga jelas aplikasi banyak bug gue yakin kasih bintang 5 pegawe bni sendiri wowkwkw males mo donwload krna rating aja bawah 4 lawak kau bni datang k cabang suruh install pakek link mereka wowkw biar dapet bonus apa gmna ato afiliatet ya mana maksa harus kata cuma di instal pake link nyata install rumah bisa aja,1,Negative
bug ny buanyaaakk,1,neutral
sangat sangat bantu,5,neutral
t fer cepat kilat,4,neutral
aplikasi y jelek dikit2 minta update dikit2 update,1,Negative
update terus,2,neutral
di tunggu fitur tarik tunai kartu mobile banking supaya mudah transaksi lupa bawa atm terima kasih,5,Positive
saee,5,neutral
baik,4,neutral
fitur tarik tunai nya gak ada kalah sama bni mobile,2,Positive
kadang suka ngeleg klo transaksi sering per hari nyaa,4,Positive
sangat bantu mudah guna aplikasi,5,Positive
aplikasi simpel sangat bantu gak perlu repot2 bolak balik atm terimakasih bni,5,neutral
banyak password,1,neutral
sangat mudah sekali di pakai,5,Negative
sangat bantu,5,neutral
harus ad apk baru sperti dlu ah d mbanking wlo fiturnya enak tp selalu sesi berkahir bikin emosi,2,Negative
aplikasi wondr by bni ini sekarang sulit untuk transaksi setor tunai tarik tunai tanpa kartu di atm mohon di tampil setor tunai di aplikasi wondr ini,3,neutral
bagus apk wondr,5,neutral
bantu kerja transfer rumah,4,Positive
okee,5,neutral
semua makin mudah,5,Positive
buat lancar aktifitas terima kasih bni smg jaya selalu aamiin,5,Positive
terlalu ribet enak yg lama,1,Negative
lebih simpel lebih cepat mantap sukses selalu,5,Positive
sangat baiik,5,neutral
mantap,5,Positive
lumayan mempercpt transaksi,3,Positive
baik,5,neutral
daftar mudah guna mudah promo banyak,5,Positive
aplikasi kok 2 hari skali ganggu,1,neutral
susah update pdhl memo dikosongin,1,Negative
aktivitas mudah aman baik,5,neutral
aplikasi nya nggk jelas hasil verifikasi verifikasi ulang,1,neutral
lebih mudah pakai wonder by bni lebih nyaman aman,5,Positive
sering eror lagi butuh wajar apk baru untung apk lama blm uninstall,5,Negative
buah mundur bni mobile banking udah enak pindah wonder malah banyak bgt ganggu top up e wallet gabisa limit transaksi mbanking gada masalah,1,Negative
makin senang transaksi wonder,5,Positive
lambat dlm mengupdate,2,Positive
sngat bantu,5,neutral
lancar tanpa kendala,5,neutral
manfaat,5,neutral
kenapa aplikasi wondr by bni harus instal lagi,5,Negative
kecewa sekali pas mau transfer uang posisi desak tiba aplikasi ngelek sangat kecewa pas update malah bisa terus,1,Negative
greats,5,neutral
byk kurang nya slalu muncul kendala,1,Negative
sering banget ganggu suruh laku download versi baru kenapa susah banget buat instal ya mohon di bantu,2,Positive
,5,neutral
briliant,5,neutral
mantap,5,neutral
dengan wondr transaksi jadi lebih mudah,5,Positive
dana yang transfer wonder hilang njir malah ga masuk,1,Negative
sangat muas,5,neutral
sangat manfaat,5,Positive
muas,5,neutral
aplikasi wondr by bni sangat bagus sangat bantu transaksi apa perlu ke atm cukup wondr by bni semua beres nasabah bank bni jangan lupa gabung oke banget memang mantap istar lubis medan sumatera utara,5,Negative
baik,5,neutral
bagus layan,5,neutral
aplikasi nggateli sdh bulan lebih selalu gagal aplikasi wajah bikin urus beranta lebih enak langsung pakai bni mobile,1,Negative
semua jadi mudah wondr,5,Negative
mudah transaksi,5,Positive
bagus sekali,5,Negative
ini cara tarik tunai kartu gimana yaa sy cari2 kok g ketemu menu,4,Positive
oke,5,neutral
proses transaksi jadi lebih simpel tetap aman top,5,Positive
parah ga download,1,neutral
ga enak mutasi gada saldo akhir neraca lebih enak pake bni mobile banking plus gada tarik tunai,1,Positive
lebih bagus pakai bni banking aj gak bagus aplikasi ini banyak bug miskin fitur gakbisa jg lihat bayar kredit kita gak tahu alas knp bni pakai aplikasi,1,Negative
terlalu banyak update aplikasi tiap bulan,4,Negative
lebih praktis sihh kalo pake wondr ini ribet lagi banyak promo lagi,5,Positive
app yg sangat simple,5,Positive
turut lebih bagus menu bni mobile bukan lebih bagus kalau bni mobile nya upgrade tambahin fitur baru yang sedia wonder akses masuk wonder anda pake sensor cuma pake sensor aja kl di mobile bni kan wensor pake pasword ini aku pake 2 apk ini kl anda e 1 apk aja masalah gak ya,2,Negative
makin ga lancar ulang kali minta update,1,neutral
sering troble aplikasi blm siap,2,neutral
ya sgt bantu,5,neutral
saya puas,5,Positive
saya turunin bintang nya soal update baru malah bisa sambung gopay,4,Negative
ga buka kalo blm update banyak kendala,4,neutral
sangat menbantuh,5,neutral
ga cardless,1,neutral
ok,5,neutral
oky,5,neutral
ngisi token listrik jadi gampang,5,neutral
nyaman mudah,5,neutral
buat apa ganti aplikasi nya makin lambat aja transaksi tidak guna jam 12 malam serius langsung buat yg bagus tidak ulang login apk nya kluar sendiri heran deh kita mau baik aplikasi nya yg lama aja kan udah banyak master it di indonesia ini masak jadi nasabah di bikin repot memory hp android yg batas aduh masak jadi hapus aplikasi untuk biar pasang wonder,1,Negative
masih penasaran tarik tunai cardless gak jadi prioritas buat muncul,2,Positive
zead,5,neutral
the best,5,neutral
tidak efektif tidak pakai tarik tunai kartu atm atm,3,Positive
gk jelas aplikasi ny gk buka di update,1,Negative
bgus sngt bantu,5,neutral
mudah dsn cepat segala transaksi,5,Positive
telah update versi baru kok malah gabisa di pake e-walet nyaaa tolongggggg kebijakannyaaaaa,3,neutral
baik,5,neutral
kok ga lengkap belum ya aplikasi sekarang ga liat dplk,3,Negative
pake aplikasi sangat bagus bantu,5,Negative
kalo gak update gak buka di update malah gak dipake virtual account hadeeh,2,neutral
kendala terus mau top up e-wallet aja kendala mulu penting aja error,1,Positive
untuk transaksi bayar sering gagal lebih baik apk yg lama pada yg,2,Negative
suka,5,neutral
sering ngebug transaksi udah hasil udah refresh bolak balik sampe buka tutup apk saldo ga kurang nominal sama mau tf virtual acc malah suruh tutup apk nya suruh nunngu buka udah laksana perintah tetep aja sama gabisa buat transaksi mana sering kaya gitu,2,Negative
saya gabisa masuk wonder bni,5,Negative
banyak ganggu dikit2 kendala,1,Positive
harus kalau siap aplikasi jangan maksa sering banget error aplikasi payah,1,Negative
belum siap aplikasi lot sering kendala bagus aplikasi bni mobile banking,1,Negative
sering log out sendiri sebab,1,Negative
alhamdulillah baik,5,neutral
masuk aplikasi loading nya lama banget saran aku mending kalian pilih bri mandiri sekian terimakasih,1,Negative
gampang error gak masuk butuh2 malah baik aplikasi sempurna gak kaya belah selalu lancar jaya,1,Negative
bagus,5,neutral
mantap,5,Positive
tiap kali diapdet lalu hapus apk yg hapus blm juga saya butuh transaksi segera kata mudah kok tambah ribet,1,Negative
apk yg sangat manfaat,5,Positive
masih lengkap untung mobile banking bisa guna karena ada opsi transaksi lpg 3kg,2,Positive
aplikasi bagus jadi lebih mudah buat transaksi terimakasih,5,Positive
bingung mau login gak huhh payah,1,Negative
gajelas sesi akhir login ulang dah kali coba kayak gitu mulu,1,Negative
mudah transaksi,5,Positive
,5,Positive
apk smngt bantu tpi tolong lah jngn sering update2 trus aplikasi nya duhhh,5,neutral
nice,5,neutral
mantap moga depa lebih bagus ok siiip,5,Positive
terlalu banyak bug kenapa update terus kalau gin gak ngegunain aplikasi,1,Negative
kasih bintang 2 dulu min aplikasi sering force close nih mohon bantu maintenance biar makin baik guna aplikasi,2,Positive
suruh nonaktif atur aksesibilitas padahal non aktif bahkan awal nonaktif tapi tetap aja bisa pakai user redmi note 10 pro,1,neutral
bni wonder oke bgt,5,neutral
makasih sangat batu ber transaksi,5,Negative
good,5,neutral
aplikasi bagus simple guna,5,neutral
mudah guna tampil ke kini jadi lebih mudah guna,5,Positive
maf izin bartanya ka root device macam aplikasi di atur mohon petunjukx kk terima kasi kk,1,Negative
ok,5,neutral
terlalu sering update kasi memo penuh saya,1,Negative
oke bangat top mantap,5,Positive
bisa mudah guna tempat uang,5,Negative
aplikasi baru malah makin mundur fitur tarik tunai tidak ada padahal sangat bantu aplikasi belum bisa bisa aplikasi baru ada kalau ga siap luncur aplikasi jangan paksa,2,Negative
sering ganggu benah,4,neutral
selamat malam gimana cara masuk akun lama sengaja hapus instalan nya soalanya pas dowload kenapa jadi bikin akun baru tidak bisa masuk akun lama,4,Negative
sangat baik,5,neutral
sy lebih apl lama krn mutasi rekening sisa saldo kta brp kliatan klo yg baru cuma mutasi aja gk saldo akhirx krn mutasi rek yg sekarang suka double2 tampil debetx jdi kta gk tau ke debet 2x apa cm sekali aja klo rek lg dikit aja kliatan tolong bni bagusin lg apl nya,4,Negative
gimna sih tranfer hasil apliksih wonder di cek kok uang enggk masuk,2,neutral
ok,5,neutral
kalo update jangan sering,3,Negative
sangat puas mudah transaksi,5,Positive
mantap,5,neutral
aplikasi mohon baik,1,neutral
aplikasi bagus banget anti ribet hebat benerin kartu atm ke blok lewat aplikasi makin canggih aja,5,neutral
tidak point bni mbanking yg belum,1,Negative
tolong banget kalo pas pemberitahuan update nya kasih opsi pilih juga masa di tekan update dulu baru di buka pikirin ruang simpan lah,3,Negative
layan cukup baik,4,Negative
sangat lot sistem sering eror,2,Negative
aplikasi cacat kaya gin rekomendasi bego udah daftar aplikasi cacat ini m-bankingnya gak di pake buat bayar listrik lagi aplikasi guna,1,Negative
cepat layan akurat,5,neutral
loading lambat mending pakai banking yg lama cepat loading nya,1,Negative
mengapa menu wondr enggak pilih tarik tunai kartu setor tunai kartu saya lebih suka tarik tunai kartu maupun setor tunai kartu di m-banking bni kembang enggak sudah,3,Positive
,5,neutral
apa dah udh transfer ga masuk2 duit 2x mlaahan e wallet yg beda kecewaaaaaa,1,neutral
lebih bagus bni mobile banking aplikasi sering ganggu belum siap kayak aplikasi layan costumer nya,5,Negative
sangat bantu lancar urus,5,neutral
bagus cepat,5,neutral
aplikasi nya lelet gagal qris uang bulan lebih gak balik2 kalo gagal lgsg balik lah saldo ini gak lgsg balik urus bank dll urus bulan lebih gak balik2 sampe close case belum balik harus aju banding lain2 jadi ngeri transaksi besar di aplikasi,1,Negative
mending allow deh buat screenshot buat apa nyedian keluar bulan gk ditunjukin buat bukti orang lain update udh di-update aplikasi udh screenshot bagi yg maksud,5,Negative
sangat bantu,5,neutral
luar biasa bantu pada bolak balik kota kantor bni utk buka blokir kartu maksi bni,5,Negative
bagus banget aplikasi sangat simpel guna buat aku lebih mudah transaksi sibuk hari,5,Positive
bagus jaga terus aman konsumen tks,5,neutral
aplikasi tarik banyak,5,neutral
tolong tambah fitur tarik tunai kartu terima kasih,5,Positive
optimal privasi,4,neutral
update terus bikin dikit2 memori penuh,1,neutral
baik,5,neutral
kok pas login malah keluar sendiri yaa malah makin aneh update,1,Negative
semenjak pakai wonder by bni fitur fitur dalam enak akses lebih mudah tetapi kalau ken buka aplikasi mau login lama sekali kali - kali buka malah terkadang brfungsi sama sekali mohon baik,2,Negative
transaksi aplikasi wonder by bni sangat mudah moga depan isi token listrik juga,5,Negative
telah baharu malah error,1,Negative
mantap,5,neutral
mantap,5,neutral
bagus bngatt,5,neutral
ngisi saldo ga masuk rekening aneh deh padahal udh 2x ngisi tetep aja ga masuk rekening,3,neutral
bagus sekali mudah utk km transaksi,4,neutral
aplikasi gagal produk kalo siap jgn release tarik tunai kartu aja gak menu mending pake bni mobile,1,Positive
bni mantap,5,Positive
baru download dn baru tf 100rb rek sy apk ini tpi hari kemudian pas sy cek kok ilang uang saya pdhl ada yg tau rek sy dan gada riwayat tari transaksi,1,Negative
sangat senang ada sama,5,Positive
mau login suruh bikin akun baru terus mana gak neken tombol back lagi alhasil gak login,1,Negative
bgs mudah klo ad perlu,4,neutral
baik,5,neutral
kok eror ini suruh update dah update kok gak di buka aplikasine,5,Negative
bagus,5,neutral
bikin mudah semua,5,Negative
mantap,5,neutral
aplikasi jelek,1,Negative
mudah urus perban,5,neutral
bagus gk ribet,5,Negative
jaman serba digital lebih gampang,5,neutral
hmmmmmmmm huu,1,neutral
tolong baik sistem aplikasi kurang support mau qr transfer gagal terus,1,Negative
tolong simpan history rekening token biar transaksi gak perlu ketik ulang,1,Positive
sangat luarbiyasah aplikasi,5,neutral
mantul pokok,5,Negative
baru gagal parah benar,1,Negative
susah pakai wonder yg baru,1,neutral
payah aplikasi minta baharu baharu bisa login,1,Negative
baik,5,neutral
ini ko update terus gimana ya buat nyaman engguna,1,neutral
cocok di prantauan,5,neutral
belum sepenuhya migrasi aplikasi ini,4,Negative
lebih gampang pakai lama simpan data,2,Negative
mau beli token listrik bnyk gagal listrik sekarat butuh cepat malah sulit ribetttt,1,Negative
rangin flim episode,5,neutral
bagus mangat,5,neutral
mantap,5,neutral
sangat bantu,5,neutral
sangat mudah pakai transaksi,4,Positive
aplikasi nya g baik waktu perlu g dbuka saya mau belanja byar2 malang stak halaman awal mohon baik lg kualitas aplikasi nya klo dlihat sinyal baik2 dan aman tp sering ktika mau transaksi malah stak aja halaman awal,2,neutral
baik,5,neutral
